Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
ЮФУ,2023,05.03.04,Гидрометеорология,171
ЮФУ,2024,05.03.04,Гидрометеорология,157
ЮФУ,2021,28.03.01,Нанотехнологии и микросистемная техника,184
ЮФУ,2022,28.03.01,Нанотехнологии и микросистемная техника,175
ЮФУ,2023,28.03.01,Нанотехнологии и микросистемная техника,181
ЮФУ,2024,28.03.01,Нанотехнологии и микросистемная техника,169
ЮФУ,2021,04.03.01,Химия,176
ЮФУ,2022,04.03.01,Химия,186
ЮФУ,2023,04.03.01,Химия,188
ЮФУ,2024,04.03.01,Химия,169
ЮФУ,2021,10.03.01,Информационная безопасность ( г. Таганрог ),229
ЮФУ,2022,10.03.01,Информационная безопасность ( г. Таганрог ),210
ЮФУ,2023,10.03.01,Информационная безопасность ( г. Таганрог ),221
ЮФУ,2024,10.03.01,Информационная безопасность ( г. Таганрог ),210
ЮФУ,2021,43.03.03,Гостиничное дело,184
ЮФУ,2022,43.03.03,Гостиничное дело,184
ЮФУ,2023,43.03.03,Гостиничное дело,201
